OGC_FID,FACILTY_NA,SITE_TYPE_,STATE_FORE,COUNTY_GDR,PAT_ADMIN_,DNR_REGION,geom
0,"Zumbro Bottoms Horse Campground-North
",Horse Campground,Richard J. Dorer Memorial Hardwood State Forest,Wabasha,Frontenac State Park,Central,POINT (569373.3541000001 4908032.5283)
1,"Trout Valley Management Unit
",State Forest Campground and Day Use Area,Richard J. Dorer Memorial Hardwood State Forest,Winona,"DNR Division of Parks and Trails, Rochester Area Office",Central,POINT (585621.7652000003 4893522.264599999)
2,"Shell City Landing Campground
",Campground,Huntersville State Forest,Wadena,Itasca State Park,Northwest,POINT (351327.77300000004 5183871.355)
3,"Hay Lake Campground and Day Use Area
",State Forest Campground and Day Use Area,Savanna State Forest,Aitkin,Savanna Portage State Park,Northeast,POINT (484284.69600000046 5199618.348999999)
4,"Wet Bark Horse Campground and Day Use Area
",Horse Campground,Richard J. Dorer Memorial Hardwood State Forest,Houston,Beaver Creek Valley State Park,Central,POINT (609278.7849000003 4843652.365800001)
5,Owen Lake Campground and Day Use Area,State Forest Campground and Day Use Area,George Washington State Forest,Itasca,Scenic State Park,Northeast,POINT (470404.0691999998 5280627.523700001)
6,Togo Horse Campground,Horse Campground,George Washington State Forest,Itasca,McCarthy Beach State Park,Northeast,POINT (483160.7460000003 5294598.5528)
7,Isinours Management Unit,State Forest Campground and Day Use Area,Richard J. Dorer Memorial Hardwood State Forest,Fillmore,"DNR Division of Parks and Trails, Rochester Area Office",Central,POINT (575759.6903999997 4840153.212300001)
8,Faunce Campground,Campground,Beltrami Island State Forest,Lake of the Woods,Zippel Bay State Park,Northwest,POINT (356038.8839999996 5383754.499)
9,Birch Lake Campground and Day Use Area,State Forest Campground and Day Use Area,Birch Lakes State Forest,Stearns,Charles A. Lindbergh State Park,Central,POINT (362294.7170000002 5070270.005999999)
10,Moose Lake Campground,Campground,Bowstring State Forest,Itasca,Scenic State Park,Northeast,POINT (449268.5549999997 5249225.515000001)
11,Cottonwood Lake Campground,Campground,Bowstring State Forest,Itasca,Scenic State Park,Northeast,POINT (447378.24980000034 5252911.4103999995)
12,Snake River Campground,Campground,Chengwatana State Forest,Pine,Wild River State Park,Northeast,POINT (517093.19299999997 5074351.774)
13,Indian Lake Campground,Campground,Cloquet Valley State Forest,St. Louis,Split Rock Lighthouse State Park,Northeast,POINT (587148.6421999997 5236003.2128)
14,Greer Lake Campground,Campground,Crow Wing State Forest,Crow Wing,Cuyuna Country State Recreation Area,Northeast,POINT (420404.9759999998 5164832.881999999)
15,Finland Campground and Day Use Area,State Forest Campground and Day Use Area,Finland State Forest,Lake,Tettegouche State Park,Northeast,POINT (632707.6129999999 5252621.7129999995)
16,Eckbeck Campground and Day Use Area,State Forest Campground and Day Use Area,Finland State Forest,Lake,Tettegouche State Park,Northeast,POINT (633807.6370000001 5248181.089)
17,Willow River Campground,Campground,General C. C. Andrews State Forest,Pine,Banning State Park,Northeast,POINT (513235.3119999999 5130463.422)
18,Thistledew Lake Campground and Day Use Area,State Forest Campground and Day Use Area,George Washington State Forest,Itasca,McCarthy Beach State Park,Northeast,POINT (482195.3320000004 5294095.229)
19,Lost Lake Campground,Campground,George Washington State Forest,Itasca,Scenic State Park,Northeast,POINT (469540.16000000015 5281381.252)
20,Stony Brook Horse Campground,Horse Campground,George Washington State Forest,Itasca,McCarthy Beach State Park,Northeast,POINT (493324.8877999997 5285396.1019)
21,Pelican Beach Day Use Area,State Forest Day Use Area,Crow Wing State Forest,Crow Wing,Cuyuna Country State Recreation Area,Northeast,POINT (411008.39080000017 5155572.034399999)
22,Shafer Lake Day Use Area,State Forest Day Use Area,Pillsbury State Forest,Cass,Crow Wing State Park,Northwest,POINT (390705.94299999997 5143686.603)
23,Remote Lake Solitude Area,State Forest Day Use Area,Savanna State Forest,Aitkin,Savanna Portage State Park,Northeast,POINT (482680.6394999996 5184724.278100001)
24,Dago Lake Day Use Area,State Forest Day Use Area,General C. C. Andrews State Forest,Pine,"DNR Division of Parks and Trails, Moose Lake Area Office",Northeast,POINT (516117.5449000001 5133498.5568)
25,Hay Creek Day Use Area,State Forest Day Use Area,Richard J. Dorer Memorial Hardwood State Forest,Goodhue,"DNR Division of Parks and Trails, Rochester Area Office",Central,POINT (534851.8316000002 4928038.557)
26,McCormick Lake Day Use Area,State Forest Day Use Area,General C. C. Andrews State Forest,Pine,"DNR Division of Parks and Trails, Moose Lake Area Office",Northeast,POINT (515982.42650000006 5129740.789999999)
27,Larson Lake Campground,Campground,George Washington State Forest,Itasca,Scenic State Park,Northeast,POINT (468624.53000000026 5290366.668)
28,Button Box Lake Campground and Day Use Area,State Forest Campground and Day Use Area,George Washington State Forest,Itasca,McCarthy Beach State Park,Northeast,POINT (478462.0939999996 5300034.263)
29,Bear Lake Campground and Day Use Area,State Forest Campground and Day Use Area,George Washington State Forest,Itasca,Scenic State Park,Northeast,POINT (480013.5089999996 5280531.742000001)
30,McFarland Lake Campground,Campground,Grand Portage State Forest,Cook,Cascade River State Park,Northeast,POINT (719375.2189999996 5326544.058)
31,Esther Lake Campground,Campground,Grand Portage State Forest,Cook,Cascade River State Park,Northeast,POINT (715814.7829999998 5318338.126)
32,Huntersville Forest Landing Campground,Campground,Huntersville State Forest,Wadena,Itasca State Park,Northwest,POINT (352624.98599999957 5177890.748)
33,Woodenfrog Campground and Day Use Area,State Forest Campground and Day Use Area,Kabetogama State Forest,St. Louis,Bear Head Lake State Park,Northeast,POINT (495273.22229999956 5369858.399800001)
34,Wakemup Bay Campground and Day Use Area,State Forest Campground and Day Use Area,Kabetogama State Forest,St. Louis,Bear Head Lake State Park,Northeast,POINT (530866.7929999996 5305374.051999999)
35,Clint Converse Campground and Day Use Area,State Forest Campground and Day Use Area,Land O'Lakes State Forest,Cass,Cuyuna Country State Recreation Area,Northwest,POINT (425402.37200000044 5188935.361)
36,Gafvert Campground and Day Use Area,State Forest Campground and Day Use Area,Nemadji State Forest,Pine,Moose Lake State Park,Northeast,POINT (543041.5319999997 5139243.709000001)
37,Mantrap Lake Campground and Day Use Area,State Forest Campground and Day Use Area,Paul Bunyan State Forest,Hubbard,Itasca State Park,Northwest,POINT (352930.1210000003 5214292.419)
38,Rock Lake Campground and Day Use Area,State Forest Campground and Day Use Area,Pillsbury State Forest,Cass,Crow Wing State Park,Northwest,POINT (386196.9313000003 5142891.588400001)
39,Zumbro Bottoms Horse Campground-West,Horse Campground,Richard J. Dorer Memorial Hardwood State Forest,Wabasha,Frontenac State Park,Central,POINT (568126.5289000003 4907369.776799999)
40,Zumbro Bottoms Horse Campground - Central,Horse Campground,Richard J. Dorer Memorial Hardwood State Forest,Wabasha,Frontenac State Park,Central,POINT (569999.2860000003 4905695.295)
41,Vinegar Ridge Campground,State Forest Campground and Day Use Area,Richard J. Dorer Memorial Hardwood State Forest,Houston,Beaver Creek Valley State Park,Central,POINT (606663.4890000001 4848691.242000001)
42,Bob Dunn Horse Campground,Horse Campground,Sand Dunes State Forest,Sherburne,Lake Maria State Park,Central,POINT (444560.8033999996 5031429.3564)
43,Ann Lake Campground and Day Use Area,State Forest Campground and Day Use Area,Sand Dunes State Forest,Sherburne,Lake Maria State Park,Central,POINT (445651.4759999998 5030324.93)
44,Hungryman Lake Campground and Day Use Area,State Forest Campground and Day Use Area,Two Inlets State Forest,Becker,Itasca State Park,Northwest,POINT (334256.3770000003 5214207.611)
45,"Devilfish Lake Campground
",Campground,Grand Portage State Forest,Cook,Cascade River State Park,Northeast,POINT (716688.3640000001 5319388.857000001)
46,Twin Lakes Campground,Campground,Pat Bayle State Forest,Cook,Cascade River State Park,Northeast,POINT (694461.6600000001 5308680.601)
47,Bemis Hill Campground and Day Use Area,State Forest Campground and Day Use Area,Beltrami Island State Forest,Roseau,Hayes Lake State Park,Northwest,POINT (318977.3940000003 5398300.842)
48,"Blueberry Hill Campground
",Campground,Beltrami Island State Forest,Lake of the Woods,Zippel Bay State Park,Northwest,POINT (350391.9230000004 5405441.848999999)
49,"Sullivan Lake Campground
",Campground,Finland State Forest,Lake,Split Rock Lighthouse State Park,Northeast,POINT (600353.8260000004 5248047.264)
50,"Ash River Campground and Day Use Area
",State Forest Campground and Day Use Area,Kabetogama State Forest,St. Louis,Bear Head Lake State Park,Northeast,POINT (513691.6059999997 5361510.688999999)
51,"Hinsdale Island
",State Forest Campground and Day Use Area,Kabetogama State Forest,St. Louis,Lake Vermilion-Soudan Underground Mine State Park,Northeast,POINT (540571.2790000001 5305254.02)
52,"Gulch Lake Campground and Day Use Area
",State Forest Campground and Day Use Area,Paul Bunyan State Forest,Hubbard,Lake Bemidji State Park,Northwest,POINT (360787.34559999965 5224615.984099999)
53,"Kruger Campground and Management Unit
",State Forest Campground and Day Use Area,Richard J. Dorer Memorial Hardwood State Forest,Wabasha,Frontenac State Park,Central,POINT (573783.5870000003 4910028.334000001)
54,"Reno Horse Campground
",Horse Campground,Richard J. Dorer Memorial Hardwood State Forest,Houston,Beaver Creek Valley State Park,Central,POINT (638727.8260000004 4829543.232000001)
55,"Boulder Campground and Day Use Area
",State Forest Campground and Day Use Area,St. Croix State Forest,Pine,St. Croix State Park,Northeast,POINT (544944.4380000001 5099701.539000001)
56,"Tamarack River Horse Campground
",Horse Campground,St. Croix State Forest,Pine,St. Croix State Park,Northeast,POINT (547502.1540000001 5101333.290999999)
57,"Walter E. Stark Horse Campground
",Horse Campground,Pillsbury State Forest,Cass,Crow Wing State Park,Northwest,POINT (388299.69600000046 5136966.763)
58,"Shell City Horse Campground
",Horse Campground,Huntersville State Forest,Wadena,Itasca State Park,Northwest,POINT (351442.44299999997 5183813.977)
59,"Snake Creek Management Unit
",State Forest Campground and Day Use Area,Richard J. Dorer Memorial Hardwood State Forest,Wabasha,"DNR Division of Parks and Trails, Rochester Area Office",Central,POINT (580132.9902999997 4900154.1855)
