id,parkId,campgroundId,npsId,title,type,url
1,,47,07E7E764-4D4F-4615-ADEB-28AB6BD87471,How Joshua Tree's Rock Formations Formed,multimedia/video,https://www.nps.gov/media/video/view.htm?id=FC6989D8-D810-413C-A142-2BF7D9196C3C
2,,47,07E7E764-4D4F-4615-ADEB-28AB6BD87471,Belle Campground,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=B7F47911-9EC5-4173-9906-48E42FAFF000
3,,64,33AA5642-343E-425B-89E9-69A0918A8502,Learn about the B.A.R.K. Ranger Principles ,multimedia/video,https://www.nps.gov/media/video/view.htm?id=6E028876-7674-4524-9B65-2CA458B985EB
4,,101,96D7C7ED-49EE-4D9F-8115-AEBF27CE6BCD,Cabin Camp 3 Individual Units,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=2B7C25AD-1DD8-B71C-0796-98AB7C4763AF
5,,156,9B5A7B2B-E147-429F-B52F-EDBF1B48EBB0,Cottonwood Campground,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=73F6787C-2490-4D98-8A6D-F9CFCE20C582
6,,293,8271D39A-48E1-4693-B3E2-2DBE4C3511D2,Hidden Valley Campground,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=93098E25-1F14-4D0D-943D-4C7374D623CD
7,,366,A63DE856-B573-4F34-A8AC-8F2BE146C442,Little Beaver Lake Campground,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=FBE3C186-155D-4519-3ECC-F3FC4F823196
8,,655,23161602-35FD-4E07-BD8C-8AF7012423A0,Haleakalā NP's Leave No Trace™ Video ,multimedia/video,https://www.nps.gov/media/video/view.htm?id=6740B532-F970-4E52-8BE5-AD8286DFDC7E
9,,655,23161602-35FD-4E07-BD8C-8AF7012423A0,Preparing for the Backcountry of Haleakalā National Park,multimedia/video,https://www.nps.gov/media/video/view.htm?id=B6B73032-5965-443B-BE68-FD194A0842F4
10,2,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Cultural Connections in the Park,multimedia/video,https://www.nps.gov/media/video/view.htm?id=06284273-F99C-4988-96CE-3020FB6AF731
11,2,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Entrance Passes & Vehicle Reservations,multimedia/video,https://www.nps.gov/media/video/view.htm?id=99BFEF04-87E0-4159-B47D-91DEF18A0606
12,2,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Friends of Acadia,multimedia/video,https://www.nps.gov/media/video/view.htm?id=F0F81D4C-4CFF-4E94-9A47-765430230EFE
13,2,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Acadia's Transportation Plan,multimedia/video,https://www.nps.gov/media/video/view.htm?id=8CF8FF8C-6DBE-4889-810C-A62CA62B2DF5
14,2,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Protect Your Pet Privileges,multimedia/video,https://www.nps.gov/media/video/view.htm?id=7372D443-8951-49CE-993D-8C199200B53E
15,2,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Acadia Always: The Story of Acadia National Park,multimedia/video,https://www.nps.gov/media/video/view.htm?id=690AB3A2-21E3-4CFB-9AED-6745C9183D2C
16,2,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Winter Storms January 2024,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=E397CD9B-71BC-49D2-8FD4-4FA082DA521B
17,2,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Acadia Passport Stamps,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=22D2D858-9676-4C40-8E35-27460AF8B5FC
18,2,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,George B. Dorr & Oldfarm,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=70D39A40-5B31-470B-A7DC-0E8CAA7C3DF8
19,2,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Interpretive Waysides in Acadia,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=EAAF0FD3-D4FA-4AEB-AECB-8741DEE471AA
20,52,,81F81EBD-0FE7-4811-88EF-AB071E737D97,Exploring the Freedom Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=5A5E1A5B-C544-48CC-BDA7-687B179CEADF
21,60,,B39C368F-CB27-49EC-B2A9-E6C1552430FB,Alcove Spring – Place to visit on the Oregon & California national historic trails,multimedia/video,https://www.nps.gov/media/video/view.htm?id=22BC8935-C4AA-410B-8A64-BC0C048A4F71
22,60,,B39C368F-CB27-49EC-B2A9-E6C1552430FB,Ash Hollow/Windlass Hill – Places to visit on the Oregon & California national historic trails,multimedia/video,https://www.nps.gov/media/video/view.htm?id=58DAFACA-68C1-4CBE-BCE1-3969E5825CBD
23,60,,B39C368F-CB27-49EC-B2A9-E6C1552430FB,Along the California Trail,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=6585E2E3-155D-451F-672A-AB99CA2ED868
24,102,,EC5A2653-4470-46E7-8B57-30B8ADE46445,Inspiration is Waiting,multimedia/video,https://www.nps.gov/media/video/view.htm?id=D9C66A84-4244-4F6F-8AD1-A8478ED9B6D6
25,102,,EC5A2653-4470-46E7-8B57-30B8ADE46445,Plan Like a Park Ranger,multimedia/video,https://www.nps.gov/media/video/view.htm?id=63A2C827-D2E6-40F3-8559-B3E342E1A067
26,102,,EC5A2653-4470-46E7-8B57-30B8ADE46445,Wildflowers,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=65BD9329-155D-451F-6729-9C4C7A8AFA98
27,102,,EC5A2653-4470-46E7-8B57-30B8ADE46445,Desert Bighorn Sheep in Colorado National Monument,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=7C73F9ED-8CFD-4CA2-962D-923F3D27E73D
28,102,,EC5A2653-4470-46E7-8B57-30B8ADE46445,Monument Scenery,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=65747189-155D-451F-6741-740C0A03D118
29,102,,EC5A2653-4470-46E7-8B57-30B8ADE46445,Reptiles & Amphibians,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=662FD718-155D-451F-6742-BDFD60BB52AE
30,102,,EC5A2653-4470-46E7-8B57-30B8ADE46445,Colorado National Monument,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=A056CA55-1379-4267-B76E-FA8B4B9685BD
31,129,,2EE542B6-3806-4E9C-ABBD-C4CC4C7E97C7,Casa San Ysidro – Place to visit on El Camino National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=BAA503FB-8127-467B-9671-BA1711A7C569
32,129,,2EE542B6-3806-4E9C-ABBD-C4CC4C7E97C7,El Camino Real de Tierra Adentro National Historic Trail Introduction,multimedia/video,https://www.nps.gov/media/video/view.htm?id=A8F859FC-6DB8-4F93-8A46-7011ABDA3630
33,129,,2EE542B6-3806-4E9C-ABBD-C4CC4C7E97C7,El Camino Real de Tierra Adentro NHT Junior Ranger Program,multimedia/video,https://www.nps.gov/media/video/view.htm?id=2AEDFEF4-B0D2-439F-AF0D-F87DA3463282
34,129,,2EE542B6-3806-4E9C-ABBD-C4CC4C7E97C7,Gutiérrez Hubbell House– Place to visit on El Camino Real de Tierra Adentro National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=E5F836F0-831C-44B5-8DEF-D323996EACC0
35,129,,2EE542B6-3806-4E9C-ABBD-C4CC4C7E97C7,Martineztown Park – Place to visit on El Camino Real de Tierra Adentro National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=0EAA9D39-DDC7-4D88-8473-67ABBA5E6F93
36,129,,2EE542B6-3806-4E9C-ABBD-C4CC4C7E97C7,Historic Sites,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=25679A11-155D-451F-67B2-13C101640807
37,130,,111711AC-B056-4CCF-B08F-35EE0E313CF4,Mission Tejas State Park – Place to Visit on the El Camino Real de los Tejas National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=06B094C6-90E1-4FEA-BCA6-CE2C23428F23
38,130,,111711AC-B056-4CCF-B08F-35EE0E313CF4,Lobanillo Swales – Place to visit on El Camino Real de los Tejas National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=7114B322-0D80-4DC9-A32B-32FCF4185759
39,130,,111711AC-B056-4CCF-B08F-35EE0E313CF4,Historic Sites,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=F059D68D-155D-451F-679D-2CC43C5CE426
40,161,,54DC5EA0-2635-4154-BBD0-AF0F38D76933,Fort Smith Peacekeeper of Indian Territory,multimedia/video,https://www.nps.gov/media/video/view.htm?id=D0A12EE1-F726-4ADC-87CE-F9C65A681FE2
41,161,,54DC5EA0-2635-4154-BBD0-AF0F38D76933,Fort Smith: A Brief History,multimedia/video,https://www.nps.gov/media/video/view.htm?id=958D5EC2-0344-44FE-8A4B-B55E935054B7
42,245,,F5CD58FB-05DC-4074-99DA-F327A537F1BC,Desert Tortoise 101,multimedia/video,https://www.nps.gov/media/video/view.htm?id=94DF562F-4500-4BFF-8E56-6C0A6012700A
43,245,,F5CD58FB-05DC-4074-99DA-F327A537F1BC,Granite Desk: Adaptations,multimedia/video,https://www.nps.gov/media/video/view.htm?id=34C6CF7B-2A2D-4AC5-A358-07C67CEDD4C8
44,245,,F5CD58FB-05DC-4074-99DA-F327A537F1BC,Granite Desk: Geology,multimedia/video,https://www.nps.gov/media/video/view.htm?id=FBE15594-1966-4C9D-A7A0-8AC0B0D24130
45,245,,F5CD58FB-05DC-4074-99DA-F327A537F1BC,Mesquite Processing Documentary ,multimedia/video,https://www.nps.gov/media/video/view.htm?id=3F3E027A-46CD-4FDB-A690-6AE9A2E37E97
46,245,,F5CD58FB-05DC-4074-99DA-F327A537F1BC,Joshua Tree Scenery,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=370FFDB9-FE58-9281-ECF4-B906ED525F1A
47,245,,F5CD58FB-05DC-4074-99DA-F327A537F1BC,Night at Joshua Tree National Park,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=4F42E474-C959-454E-A46D-EAC6D43BB603
48,249,,406F7D87-F34F-41C9-9CCE-9FD53ABBA9A7,Plan Your Visit,multimedia/video,https://www.nps.gov/media/video/view.htm?id=362F118E-FA12-44BC-A4FE-0EFC3D75A022
49,304,,AD731EF0-685F-4397-88C1-A9BB21EBF034,Carthage Jail - Place to visit on the Mormon Pioneer National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=3799689E-8E91-41A8-B9DB-5D8111CF14BD
50,304,,AD731EF0-685F-4397-88C1-A9BB21EBF034,Along the Mormon Pioneer Trail,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=00DC169E-155D-451F-677B-BFB4E0ED6CE4
51,334,,8B07C05F-9C4A-4799-8428-DFA2BBB733AC,Los Luceros Historic Site – Place to visit on the Old Spanish National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=DBA24AC5-46A8-438E-9371-BE17C63B5610
52,334,,8B07C05F-9C4A-4799-8428-DFA2BBB733AC,Amargosa Canyon Trail - Place to visit on the Old Spanish National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=12D11565-4358-4547-925C-954F5D6D9156
53,334,,8B07C05F-9C4A-4799-8428-DFA2BBB733AC,Late Night Trailhead – Place to visit on the Old Spanish National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=F5E570ED-57CA-4029-AB81-6583005520DF
54,334,,8B07C05F-9C4A-4799-8428-DFA2BBB733AC,New Mexico Fiber Arts: Weaving,multimedia/video,https://www.nps.gov/media/video/view.htm?id=003CE658-561E-4867-8423-92A412B7F24E
55,334,,8B07C05F-9C4A-4799-8428-DFA2BBB733AC,Historic Sites,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=BBC004DF-155D-451F-67ED-A5444DD19555
56,337,,4E072F12-3E85-4219-B456-A8F04C688879,Alcove Spring - A Swale Vantage Point Exhibit Audio Description,multimedia/audio,https://www.nps.gov/media/video/view.htm?id=336F9BB7-2AC5-4840-B838-06EC896695E8
57,337,,4E072F12-3E85-4219-B456-A8F04C688879,Chimney Rock – Place to visit on the Oregon National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=D28892CE-4610-4ACF-BED7-43499DD41450
58,337,,4E072F12-3E85-4219-B456-A8F04C688879,Ash Hollow/Windlass Hill – Places to visit on the Oregon & California national historic trails,multimedia/video,https://www.nps.gov/media/video/view.htm?id=58DAFACA-68C1-4CBE-BCE1-3969E5825CBD
59,337,,4E072F12-3E85-4219-B456-A8F04C688879,Along the Oregon Trail,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=00EAA6A9-155D-451F-672C-00249C16B197
60,359,,A0125F49-080E-4292-BD91-C1FA1657F547,"Rock Creek Station – Place to visit on the Pony Express, Oregon & California national historic trails",multimedia/video,https://www.nps.gov/media/video/view.htm?id=00F3DDE3-DD90-4F22-AA2C-B2533149826E
61,359,,A0125F49-080E-4292-BD91-C1FA1657F547,"Hollenberg Pony Express Station – Place to visit on the Oregon, California, & Pony Express national historic trails",multimedia/video,https://www.nps.gov/media/video/view.htm?id=3A09775D-673E-4039-BC1D-155F7C427021
62,359,,A0125F49-080E-4292-BD91-C1FA1657F547,Images along the Pony Express Trail,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=00D0E483-155D-451F-675D-42AC23801833
63,395,,2B14155F-0E31-43F3-8B87-8B1DA6FA0BF7,Pawnee Rock State Historic Site – Place to visit on the Santa Fe National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=194C679F-E9B1-4DDD-BBAB-BEE8634B54E8
64,395,,2B14155F-0E31-43F3-8B87-8B1DA6FA0BF7,Black Jack Ruts – Place to visit on the Santa Fe National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=044D9D67-1B2B-48FA-BF84-571DFAD68C72
65,395,,2B14155F-0E31-43F3-8B87-8B1DA6FA0BF7,Historic Sites,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=F351D025-155D-451F-6738-42ACBF25AFFA
66,430,,07A92FEB-682E-4895-8070-3323BC6F9EF7,Trail of Tears Commemorative Park - Place to visit on the Trail of Tears National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=439C6E4E-7084-4735-8788-BFC90800FCB0
67,430,,07A92FEB-682E-4895-8070-3323BC6F9EF7,Mantle Rock Nature Preserve – Place to visit on the Trail of Tears National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=1BF37167-1A00-4C2B-B3DD-1552EA5BFD07
68,430,,07A92FEB-682E-4895-8070-3323BC6F9EF7,Hamburg Hill – Place to visit on the Trail of Tears National Historic Trail,multimedia/video,https://www.nps.gov/media/video/view.htm?id=32A47B34-BC56-47F1-9B26-6B09BED96A8D
69,430,,07A92FEB-682E-4895-8070-3323BC6F9EF7,Trail of Tears National Historic Trail,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=F70DDA5A-155D-451F-67A6-59C12C6FC60B
70,440,,8908E0CA-3603-4578-B957-837F9813E6D5,Night Sky from the Cabin District,multimedia/video,https://www.nps.gov/media/video/view.htm?id=20FCD1A4-6FD2-4BD0-9DA4-C4C5B3620939
71,440,,8908E0CA-3603-4578-B957-837F9813E6D5,Fumaroles at Sulphur Springs,multimedia/video,https://www.nps.gov/media/video/view.htm?id=6E9E6782-33C0-43FE-B8A6-88597C22D47E
72,440,,8908E0CA-3603-4578-B957-837F9813E6D5,Valle San Luis,multimedia/video,https://www.nps.gov/media/video/view.htm?id=22359BF2-2D09-4B78-8E40-25DE0EF25A7B
73,440,,8908E0CA-3603-4578-B957-837F9813E6D5,History Grove,multimedia/video,https://www.nps.gov/media/video/view.htm?id=55C1EA4B-1C9A-4834-8DD1-8948426ADFA2
74,440,,8908E0CA-3603-4578-B957-837F9813E6D5,Caldera Chats: An Explosive Intersection,multimedia/video,https://www.nps.gov/media/video/view.htm?id=7B58A16B-8724-4066-823D-8C63D74ED6FD
75,440,,8908E0CA-3603-4578-B957-837F9813E6D5,Scenery,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=4F684837-0F28-4929-8F1D-B78282CB1E6B
76,440,,8908E0CA-3603-4578-B957-837F9813E6D5,Wildlife,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=71E29798-BB48-4BAD-BD17-B7B2B915071E
77,440,,8908E0CA-3603-4578-B957-837F9813E6D5,Cabin District,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=FAF1FDD3-B5EF-450B-9385-B99CE65AC643
78,440,,8908E0CA-3603-4578-B957-837F9813E6D5,Ranger Programs,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=21A6BDE9-2643-4BE1-92B6-78643083BB88
79,441,,41813A9C-A947-4078-9DAA-4CE952F4E512,Life Before and After the Encampment,multimedia/video,https://www.nps.gov/media/video/view.htm?id=274AC8F9-08F3-4488-865D-FFC2ABB32017
80,441,,41813A9C-A947-4078-9DAA-4CE952F4E512,Nature's Refuge: Valley Forge National Historical Park,multimedia/video,https://www.nps.gov/media/video/view.htm?id=B0E6CFEC-6BAF-4282-91F1-DE5980CBF2E6
81,441,,41813A9C-A947-4078-9DAA-4CE952F4E512,Popular Myths of Valley Forge,multimedia/video,https://www.nps.gov/media/video/view.htm?id=BB91C96B-6D35-406E-BA92-45855C5E288B
82,441,,41813A9C-A947-4078-9DAA-4CE952F4E512,The Continental Army Arrives,multimedia/video,https://www.nps.gov/media/video/view.htm?id=014416A7-7765-474B-9561-4F146ECD7DB2
83,441,,41813A9C-A947-4078-9DAA-4CE952F4E512,Unsung Heroes of Valley Forge,multimedia/video,https://www.nps.gov/media/video/view.htm?id=3BD60D64-270C-4288-BDEF-1D41D077CEC7
84,441,,41813A9C-A947-4078-9DAA-4CE952F4E512,Best of Valley Forge,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=9FFB2A0D-41A2-44D7-8776-DA0C679EA0FF
85,459,,2067FAB2-41D4-43DF-8142-9B1FC40AFDFC,Museum Navy Objects,multimedia/galleries,https://www.nps.gov/media/photo/gallery.htm?id=2C3326B1-EC0E-4610-DDB3-E1E86821084A
